"USPS","geoid","pop2019est"
"MS","28111",11973
"VA","51133",12095
"VA","51610",14617
"MO","29017",12133
"VA","51131",11710
"AR","05137",12506
"TX","48063",13094
"MO","29011",11754
"IA","19037",11933
"MN","27023",11800
"IA","19075",12232
"KY","21219",12294
"MS","28065",11128
"UT","49027",13188
"IA","19175",12241
"CO","08099",12172
"IL","17087",12417
"VA","51037",11880
"KY","21197",12359
"GA","13079",12404
"IL","17123",11438
"TX","48445",12337
"KS","20115",11884
"MS","28161",12108
"KY","21031",12879
"VA","51007",13145
"IL","17129",12196
"MO","29115",11920
"ID","16079",12882
"IN","18009",11758
"OK","40061",12627
"ID","16041",13876
"IN","18125",12389
"TX","48387",12023
"MT","30003",13319
"TN","47007",15064
"FL","12043",13811
"IA","19007",12426
"MO","29063",12547
"VA","51111",12196
"KY","21159",11195
"MS","28077",12586
"TX","48343",12388
"KY","21033",12747
"WA","53051",13724
"AR","05041",11361
"GA","13023",12873
"MS","28005",12297
"NC","37137",12726
"AR","05081",12259
"AL","01035",12067
"NC","37187",11580
"IA","19197",12562
"ID","16043",13099
"WY","56015",13211
"VA","51113",13261
"MN","27071",12229
"TN","47161",13715
"KY","21153",12161
"KS","20001",12369
"MI","26141",12592
"MT","30035",13753
"IN","18131",12353
"OH","39163",13085
"NC","37143",13463
"KS","20085",13171
"AK","02130",13901
"OK","40099",14073
"KY","21109",13329
"WV","54063",13275
"MO","29223",12873
"TX","48487",12769
"TX","48059",13943
"SD","46113",13586
"WI","55011",13031
"AK","02150",12998
"KY","21233",12942
"IL","17017",12147
"TX","48313",14284
"NE","31185",13679
"MO","29067",13185
"AR","05065",13629
"TN","47061",13427
"NM","35007",11941
"AL","01119",12427
"TX","48389",15976
"CA","06105",12285
"AR","05061",13202
"CO","08081",13283
"TN","47015",14678
"IL","17025",13184
"VA","51690",12554
"TX","48115",12728
"WY","56009",13822
"MN","27159",13682
"AL","01023",12589
"SD","46027",14070
"KY","21135",13275
"KY","21025",12630
"MO","29151",13615
"IL","17061",12969
"GA","13159",14219
"AL","01041",13772
"KY","21175",13309
"WV","54089",12573
"MN","27113",14119
"AL","01027",13235
"ND","38079",14176
"IA","19029",12836
"TX","48093",13635
"TX","48279",12893
"NC","37173",14271
"MO","29039",14349
"OK","40063",13279
"TX","48505",14179
"WV","54031",13776
"VA","51043",14619
"VA","51830",14954
"MI","26039",14029
"TX","48239",14760
"IL","17053",12961
"MO","29181",13288
"TN","47153",15026
"AR","05079",13024
"WI","55099",13351
"OK","40005",13758
"KY","21123",14398
"NE","31151",14224
"CA","06051",14444
"IN","18111",13984
"VA","51685",17478
"IA","19005",13687
"GA","13191",14378
"KY","21221",14651
"KY","21069",14581
"LA","22013",13241
"MO","29133",13180
"IA","19141",13753
"SD","46127",15932
"MS","28041",13586
"TX","48351",13595
"GA","13183",19559
"WV","54007",13957
"MN","27043",13653
"AL","01075",13805
"TX","48455",14651
"TN","47033",14230
"GA","13251",13966
"FL","12013",14105
"OH","39111",13654
"OH","39121",14424
"IL","17193",13537
"IL","17125",13359
"KY","21065",14106
"IL","17189",13887
"GA","13193",12947
"UT","49037",15308
"WI","55107",14178
"FL","12065",14246
"TX","48003",18705
"NC","37041",13943
"FL","12047",14428
"TX","48255",15601
"CO","08049",15734
"PA","42057",14530
"IL","17139",14501
"MI","26113",15118
"IA","19023",14439
"KY","21191",14590
"LA","22059",14892
"GA","13221",15259
"GA","13093",13390
"WV","54087",13688
"IA","19085",14049
"MS","28013",14361
"AL","01029",14910
"VA","51011",15911
"KY","21225",14381
"WI","55007",15036
"VA","51125",14930
"OK","40035",14142
"OK","40073",15765
"OH","39115",14508
"IA","19129",15109
"GA","13161",15115
"KS","20011",14534
"SC","45017",14553
"MO","29117",15227
"OK","40023",14672
"TX","48353",14714
"MO","29073",14706
"MN","27143",14865
"IN","18013",15092
"VA","51063",15749
"LA","22127",13904
"CO","08051",17462
"MS","28135",13809
"IL","17015",14305
"WI","55077",15574
"KY","21103",16126
"IL","17127",13772
"MS","28147",14286
"CO","08003",16233
"WI","55013",15414
"ID","16047",15179
"CO","08071",14506
"TX","48371",15823
"VA","51077",15550
"FL","12125",15237
"IA","19109",14813
"MO","29121",15117
"NC","37121",14964
"MO","29135",16132
"LA","22125",15568
"MN","27135",15165
"MT","30067",16606
