ori,dest,amount
55095,55029,6
55095,55031,50
55095,55033,132
55095,55035,32
55095,55039,10
55095,55059,4
55095,55063,10
55095,55078,12
55095,55079,4
55095,55087,4
55095,55091,8
55095,55093,100
55095,55097,10
55095,55099,6
55095,55107,30
55095,55109,3788
55095,55115,4
55095,55123,10
55095,55125,14
55095,55129,80
55095,55131,4
55095,55137,20
55097,55001,110
55097,55009,92
55097,55011,10
55097,55015,6
55097,55017,30
55097,55019,62
55097,55021,64
55097,55025,158
55097,55027,28
55097,55033,12
55097,55035,28
55097,55039,112
55097,55041,10
55097,55047,18
55097,55053,64
55097,55057,32
55097,55061,4
55097,55063,12
55097,55067,6
55097,55069,36
55097,55073,3414
55097,55077,30
55097,55079,40
55097,55081,6
55097,55085,30
55097,55087,312
55097,55105,82
55097,55107,4
55097,55111,102
55097,55115,144
55097,55117,46
55097,55119,20
55097,55121,26
55097,55127,30
55097,55133,34
55097,55135,2376
55097,55137,754
55097,55139,188
55097,55141,4970
55099,55003,100
55099,55005,26
55099,55009,6
55099,55017,4
55099,55019,16
55099,55025,20
55099,55035,14
55099,55041,4
55099,55051,26
55099,55067,6
55099,55069,128
55099,55073,78
55099,55077,6
55099,55078,2
55099,55079,16
55099,55081,8
55099,55085,176
55099,55087,8
55099,55097,2
55099,55107,404
55099,55113,76
55099,55119,542
55099,55125,130
55099,55129,6
55099,55133,4
55099,55135,2
55099,55139,8
55099,55141,38
55101,55003,6
55101,55005,62
55101,55009,50
55101,55019,16
55101,55025,136
55101,55027,84
55101,55035,24
55101,55039,182
55101,55051,24
55101,55055,116
55101,55057,36
55101,55059,14080
55101,55063,14
55101,55073,42
55101,55079,30170
55101,55085,22
55101,55089,168
55101,55095,6
55101,55099,34
55101,55105,168
55101,55115,4
55101,55117,82
55101,55127,3562
55101,55131,322
55101,55133,10022
55101,55139,34
55103,55001,4
55103,55009,2
55103,55021,52
55103,55023,78
55103,55025,926
55103,55027,8
55103,55029,2
55103,55031,4
55103,55033,6
55103,55043,752
55103,55049,434
55103,55053,10
55103,55057,100
55103,55063,158
55103,55065,14
55103,55079,14
55103,55081,138
55103,55083,4
55103,55087,4
55103,55089,4
55103,55097,6
55103,55105,4
55103,55109,4
55103,55111,2072
55103,55123,886
55103,55127,8
55103,55133,46
55103,55139,4
55105,55009,78
55105,55011,22
55105,55017,12
55105,55021,48
55105,55025,18854
55105,55027,346
55105,55035,8
55105,55039,32
55105,55045,2378
55105,55049,98
55105,55055,3148
55105,55061,76
55105,55065,30
55105,55067,2
55105,55071,18
55105,55077,18
55105,55079,524
55105,55081,48
55105,55083,16
55105,55087,24
55105,55091,4
55105,55097,20
55105,55101,160
55105,55103,18
55105,55111,36
55105,55119,10
55105,55123,24
55105,55127,6318
55105,55133,722
55105,55135,6
55105,55139,12
55105,55141,16
55107,55003,4
55107,55005,1038
55107,55009,6
55107,55017,616
55107,55019,22
55107,55027,12
55107,55031,4
55107,55033,64
55107,55035,254
55107,55039,4
55107,55041,4
55107,55043,2
55107,55063,2
55107,55069,6
55107,55073,26
55107,55081,10
55107,55093,6
55107,55095,4
55107,55099,100
55107,55109,12
55107,55113,122
55107,55119,112
55107,55121,6
55107,55129,74
55107,55133,4
55107,55139,4
55107,55141,14
55109,55005,158
55109,55011,2
55109,55013,92
55109,55017,20
55109,55025,58
55109,55027,2
55109,55031,10
55109,55033,1324
55109,55035,564
55109,55043,38
55109,55075,4
55109,55078,44
55109,55079,52
55109,55081,26
55109,55093,2582
55109,55095,1822
55109,55103,4
55109,55105,6
55109,55111,38
55109,55117,30
55109,55121,8
55109,55129,202
55109,55131,102
55109,55141,8
55111,55001,282
55111,55009,22
55111,55011,4
55111,55015,2
55111,55021,1882
55111,55025,8754
55111,55027,40
55111,55035,10
55111,55039,24
55111,55043,52
55111,55045,34
55111,55047,40
55111,55049,794
55111,55053,42
55111,55055,4
55111,55057,920
55111,55063,12
55111,55065,20
55111,55071,4
55111,55073,8
55111,55077,94
55111,55079,64
55111,55081,84
55111,55087,6
55111,55089,6
55111,55097,24
55111,55101,14
55111,55103,618
55111,55105,82
55111,55113,10
55111,55123,142
55111,55133,28
55111,55137,2
55111,55139,20
55111,55141,8
55113,55003,44
55113,55005,330
55113,55007,156
55113,55013,30
55113,55017,34
55113,55025,6
55113,55031,34
55113,55033,16
55113,55035,84
55113,55045,12
55113,55063,12
55113,55067,6
55113,55069,2
55113,55079,2
55113,55081,2
55113,55083,8
55113,55087,6
55113,55095,22
55113,55099,128
55113,55107,450
55113,55109,8
55113,55111,6
55113,55119,2
55113,55125,12
55113,55129,446
55113,55131,8
55115,55009,5908
55115,55015,56
55115,55021,16
55115,55025,12
55115,55027,26
55115,55029,12
55115,55031,6
55115,55035,6
55115,55039,28
55115,55041,6
55115,55043,4
55115,55047,8
55115,55053,8
55115,55057,6
55115,55061,26
55115,55067,808
55115,55069,10
55115,55071,24
55115,55073,2110
55115,55075,28
55115,55078,1694
55115,55079,102
55115,55081,8
55115,55083,510
55115,55085,22
55115,55087,1708
55115,55089,6
55115,55097,162
55115,55101,8
55115,55107,22
55115,55113,6
55115,55117,4
55115,55121,8
55115,55125,4
55115,55131,10
55115,55133,12
55115,55135,2810
55115,55137,6
55115,55139,372
55115,55141,16
55117,55005,30
55117,55009,458
55117,55015,594
55117,55021,16
55117,55025,132
55117,55027,188
55117,55029,16
55117,55035,4
55117,55039,1074
